parentTitle,title,url,
养生方法,按摩养生,/entity_search?onto=health&type=health_anmo,
养生方法,起居养生,/entity_search?onto=health&type=health_qiju,
疾病,疾病,/entity_search?onto=health&type=health_jibing,
养生方法,针灸养生,/entity_search?onto=health&type=health_zhenjiu,
基础,中医养生原则,/entity_search?onto=health&type=health_zhongyiyangshenyuanze,
养生方法,气功养生,/entity_search?onto=health&type=health_qigong,
养生方法,饮食养生,/entity_search?onto=health&type=health_yinshi,
养生方法,名家养生,/entity_search?onto=health&type=health_mingjia,
基础,体质,/entity_search?onto=health&type=health_tizhi,
养生方法,药物养生,/entity_search?onto=health&type=health_yaowu,
养生方法,情志养生,/entity_search?onto=health&type=health_qingzhi,
基础,节气,/entity_search?onto=health&type=health_jieqi,
基础,中医养生思想,/entity_search?onto=health&type=health_zhongyiyangshensixiang,
养生方法,运动养生,/entity_search?onto=health&type=health_yundong,
基础,食谱,/entity_search?onto=health&type=health_shipu,
基础,穴位,/entity_search?onto=health&type=health_xuewei,
疾病,西医疾病,/entity_search?onto=health&type=health_xiyijibing,
养生方法,药膳养生,/entity_search?onto=health&type=health_yaoshan,
疾病,中医疾病,/entity_search?onto=health&type=health_zhongyijibing,
基础,经脉,/entity_search?onto=health&type=health_jingmai,
养生方法,食物养生,/entity_search?onto=health&type=health_shiwu,
基础,症候,/entity_search?onto=health&type=health_zhenghou,
养生方法,娱乐养生,/entity_search?onto=health&type=health_yule,
