parentTitle,title,url,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4066,
食疗法,棉花子煲鸡蛋,/synthesis?onto=health&keywords=食疗法&type=health_shiwu&id=00000007033,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4067,
肉苁蓉,龟龄集（《集验良方》）,/synthesis?onto=health&keywords=肉苁蓉&type=health_yaoshan&id=324,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4068,
食疗法,百部榧子蜜膏,/synthesis?onto=health&keywords=食疗法&type=health_yaoshan&id=839,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4069,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2933,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2934,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2935,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2936,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2937,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2938,
常食法,常食法,/synthesis?onto=health&keywords=常食法&type=health_yundong&id=39,
气功,淋门三法,/synthesis?onto=health&keywords=气功&type=health_qigong&id=223,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2939,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4073,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4074,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4075,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4076,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2930,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4070,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2931,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4071,
外治法,吹耳疗法,/synthesis?onto=health&keywords=外治法&type=health_yaowu&id=2932,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4072,
五加皮酒,五加皮酒,/synthesis?onto=health&keywords=五加皮酒&type=health_yaoshan&id=160,
药物法,药物法,/synthesis?onto=health&keywords=药物法&type=health_yaowu&id=4059,
合谷,气海,/synthesis?onto=health&keywords=合谷&type=health_xuewei&id=342,
